N,P,K,temperature,humidity,ph,label
24,128,196,22.75088787,90.69489172,5.521466996,Poor
7,144,197,23.8494014,94.34814995,6.133220586,Poor
14,128,205,22.60800988,94.58900601,6.226289556,Poor
8,120,201,21.18667419,91.13435689,6.321152192,Poor
20,129,201,23.41044706,91.69913296,5.587905967,Poor
32,137,204,22.86006627,93.12859895,5.824151693,Poor
27,139,205,22.48403042,93.40819246,5.772179946,Poor
0,123,205,22.02775403,92.96129462,5.790993052,Poor
22,144,196,21.91191314,91.68748063,6.499226821,Poor
1,124,199,23.71059131,93.27392415,5.658473817,Poor
30,122,197,21.37784654,92.72043743,5.573241391,Poor
29,121,196,22.84852833,94.32130209,6.079497202,Poor
13,126,204,23.1094265,92.79630809,6.383180271,Poor
9,139,199,23.25230817,94.54128292,5.867420996,Poor
0,133,200,23.67287749,90.4935574,5.708418722,Poor
30,143,199,23.76881552,90.59810302,5.7983508,Poor
36,140,198,23.34386401,91.47684705,6.28188384,Moderate
37,137,199,22.63946441,90.18451645,5.697945522,Poor
33,121,203,22.45696744,94.76285385,5.605934087,Poor
7,144,195,22.96388477,93.58065995,5.85648105,Poor
35,128,205,21.07273439,93.56585985,6.041053829,Moderate
29,128,198,22.44075021,92.70785115,5.685062404,Poor
2,143,196,22.71271308,90.45261746,5.669489065,Poor
34,140,198,21.70416965,93.44006288,5.751707342,Poor
29,144,204,22.43324518,92.48667725,5.800448951,Poor
32,141,203,21.25941052,92.84416234,5.821347769,Poor
13,144,197,22.9215706,94.89613443,6.28022267,Poor
25,143,198,22.81212536,91.51861705,6.027314401,Poor
9,137,200,21.12152071,90.6878768,5.636687393,Poor
6,144,198,21.11478672,90.31528693,5.559363609,Poor
37,126,196,23.59997268,90.97597665,5.596449493,Poor
2,120,203,23.12652652,94.71203306,5.893492999,Poor
11,143,197,22.98458907,93.3204487,5.875718516,Poor
10,141,201,22.12659387,90.97818277,6.386021424,Poor
24,142,202,22.53779727,91.48135786,5.710819862,Poor
23,138,195,22.49095104,91.70292746,5.795985716,Poor
18,125,204,22.35548159,94.47811755,6.046673619,Poor
13,121,196,22.20700989,93.50574163,6.443382913,Poor
26,122,202,22.44516988,94.73763514,5.617227184,Poor
28,123,202,22.76643029,92.12438519,6.442289294,Poor
26,121,201,22.19109412,90.02575116,6.162034371,Poor
21,137,196,23.6119202,91.70293849,5.812781806,Poor
21,135,198,23.86087054,94.92048112,5.765015126,Poor
5,144,205,21.42177231,92.62665309,6.184922574,Poor
2,123,205,22.36629253,90.78572467,5.739652177,Poor
15,133,199,23.99686172,91.61001707,5.824778636,Poor
